"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Mon Apr 22 16:55:29 GMT 2024","Mon Apr 22 16:55:29 GMT 2024","543","Surefire suite","Surefire test","tests.LoginTest","tests.LoginTest","wrongEmailLoginTest","wrongEmailLoginTest",""
"passed","Mon Apr 22 16:55:32 GMT 2024","Mon Apr 22 16:55:32 GMT 2024","609","Surefire suite","Surefire test","tests.LoginTest","tests.LoginTest","wrongPasswordLoginTest","wrongPasswordLoginTest",""
"passed","Mon Apr 22 16:55:32 GMT 2024","Mon Apr 22 16:55:32 GMT 2024","0","Surefire suite","Surefire test","tests.AllureTest","tests.AllureTest","testDescription","testDescription","Some detailed test description."
"passed","Mon Apr 22 16:55:25 GMT 2024","Mon Apr 22 16:55:27 GMT 2024","1775","Surefire suite","Surefire test","tests.LoginTest","tests.LoginTest","successfulLoginTest","successfulLoginTest",""
"passed","Mon Apr 22 16:55:32 GMT 2024","Mon Apr 22 16:55:32 GMT 2024","0","Surefire suite","Surefire test","tests.AllureTest","tests.AllureTest","testNameAndDescription","Тест на проверку логина","Проверяем логин с корректными кредами"
"passed","Mon Apr 22 16:55:32 GMT 2024","Mon Apr 22 16:55:32 GMT 2024","1","Surefire suite","Surefire test","tests.AllureTest","tests.AllureTest","testName","Human-readable test name",""
"passed","Mon Apr 22 16:55:32 GMT 2024","Mon Apr 22 16:55:32 GMT 2024","0","Surefire suite","Surefire test","tests.AllureTest","tests.AllureTest","testIssue","testIssue",""
"passed","Mon Apr 22 16:55:32 GMT 2024","Mon Apr 22 16:55:32 GMT 2024","0","Surefire suite","Surefire test","tests.AllureTest","tests.AllureTest","testSeverity","testSeverity",""
"passed","Mon Apr 22 16:55:32 GMT 2024","Mon Apr 22 16:55:32 GMT 2024","0","Surefire suite","Surefire test","tests.AllureTest","tests.AllureTest","testLink","testLink",""
"passed","Mon Apr 22 16:55:32 GMT 2024","Mon Apr 22 16:55:32 GMT 2024","1","Surefire suite","Surefire test","tests.AllureTest","tests.AllureTest","testTMS","testTMS",""
